href,Topic ID,Date Posted,Total Comments,Total Interactions
https://linustechtips.com/topic/1532381-dwarf-fortress-releases-to-linux-after-20-years/,1532381,"Sep 21, 2023, 02:47 PM",3.0,2
https://linustechtips.com/topic/1532417-games-keep-crashing-and-i-have-no-idea-why/,1532417,"Sep 21, 2023, 07:29 PM",4.0,0
https://linustechtips.com/topic/1381504-community-standards-updated/,1381504,"Oct 16, 2021, 11:45 AM",87.0,261
https://linustechtips.com/topic/1532002-need-help-choosing-a-new-psu/,1532002,"Sep 18, 2023, 09:33 PM",5.0,0
https://linustechtips.com/topic/1532126-yet-again-restricted-military-vehicle-documents-leak-on-the-war-thunder-forums/,1532126,"Sep 19, 2023, 06:19 PM",25.0,68
https://linustechtips.com/topic/1532399-help-with-new-build-~-1500/,1532399,"Sep 21, 2023, 04:43 PM",9.0,0
https://linustechtips.com/topic/1532382-should-i-upgrade/,1532382,"Sep 21, 2023, 03:02 PM",25.0,1
https://linustechtips.com/topic/1532335-can-i-use-this%C2%A0-woofersubwoofer-without-any-crossover/,1532335,"Sep 21, 2023, 04:59 AM",13.0,1
https://linustechtips.com/topic/1532364-randomly-shut-down-red-cpu-debug-light/,1532364,"Sep 21, 2023, 12:28 PM",9.0,2
https://linustechtips.com/topic/1532053-4070-vs-used-3090/,1532053,"Sep 19, 2023, 05:35 AM",19.0,5
https://linustechtips.com/topic/1532413-no-boot-cpu-ram-debug-lights-on/,1532413,"Sep 21, 2023, 06:36 PM",6.0,0
https://linustechtips.com/topic/1532264-monitors-shut-down-when-gaming-but-pc-stays-on/,1532264,"Sep 20, 2023, 05:33 PM",5.0,0
https://linustechtips.com/topic/1532423-issues-with-grd-released-on-092123/,1532423,"Sep 21, 2023, 08:21 PM",2.0,0
https://linustechtips.com/topic/1532420-new-build-performance-struggles/,1532420,"Sep 21, 2023, 07:59 PM",4.0,1
https://linustechtips.com/topic/1531959-is-there-a-way-to-connect-to-rdp-from-windows-enterprise-to-windows-home/,1531959,"Sep 18, 2023, 02:37 PM",7.0,6
https://linustechtips.com/topic/1532421-ltt-featured-in-other-videos-a-listing/,1532421,"Sep 21, 2023, 08:08 PM",2.0,0
https://linustechtips.com/topic/1532422-dlss-option-not-available-on-payday-3-using-rtx-3080/,1532422,"Sep 21, 2023, 08:19 PM",2.0,0
https://linustechtips.com/topic/1532263-my-pc-turns-off-randomly/,1532263,"Sep 20, 2023, 05:32 PM",5.0,0
https://linustechtips.com/topic/1532258-roasting-your-worst-gaming-setups-in-person/,1532258,"Sep 20, 2023, 05:22 PM",23.0,8
